id;name;album;album_id;artists;artist_ids;track_number;disc_number;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature;year;release_date
7ECBjsSPwvqyYduug0TWnn;!nterlude;Where's Wally?;0gX17E2hv5KI0HM3EmHJS6;['Eddie Nashton'];['1SCLU3YGvfygYFotSc0f50'];1;1;FALSO;419;294;2;-1,3848E+16;1;323;299;2,11E+16;583;3,94E+16;80117;56250;30;2015;2015-11-30
6yAVEol79QkbHAHEgsBYtA;!que Bombala!;Crackstatic;77EauApexdpaJ2DMlRybJM;['Ron Hawkins'];['6vSWCxTE0Tduswrgwgi37w'];12;1;FALSO;4,72E+16;525;3;-6226;1;412;472;333;257;0;1,03077E+16;20200;40;2000;2000-01-01
1JrpMwlzPuWgfmGiIBi9QI;""" """;Burner;37r17AuslVoigWwCzLbsyu;['Breadwinner'];['3UUl93ABT7zywawX0QA7MC'];4;1;FALSO;2,96E+16;8,29E+15;4;-8101;1;414;0,000446;91;824;198;124859;201760;40;1994;1994-03-14
04AYcz6ZJNBlk7JpQ7GcVj;""" Where's Carrie ? "" Jam";CHHR2;7r3Lm0cHd5oRoF421yQwPq;['Carrie Hassler', 'Hard Rain'];['6DXV23E21O4yblZHpvUEFg', '79BAEZjpdVsKzl8YwcOTAj'];13;1;FALSO;643;645;2;-11796;1;498;667;9,11E+15;3,57E+16;977;10863;39080;40;2008;2008-07-29
74DyYsJP3zYeLYznqkzWkf;"""...And Now The Man You've All Been Waiting For!""";Edward's Lament;0UBjbewM4UIN0vGnsDbvUm;['House of Low Culture'];['3yw2yyy1h5yBImpvbYbp7l'];5;1;FALSO;147;1,92E+16;8;-4,4572E+16;1;373;813;948;687;345;13629;1110520;30;2003;2003-08-26
0sZb4GBh64F0FOZzQy6QqV;"""...Because All Suffering Is Sweet to Me...""";Lucy Gray;3husNaXRDbMkDvssgj4PkS;['Envy On The Coast'];['6RvruFAgvsAb4B82u8wsSH'];11;1;FALSO;2,41E+16;7,34E+15;4;-6919;0;671;204;0;11;4;157355;237973;40;2007;2007-08-07
7pfyAmkzK8vZvgcl5zWx7u;"""...The Unknown, Now...""";Windhorse Riders;47ZfRxuq7uQ7Vpq500DCIs;['David Hykes & Djamchid Chemirani'];['0fwoUZKlixxv609vLgPMbJ'];7;1;FALSO;35;196;10;-22379;0;677;664;316;814;157;100359;187400;40;1989;1989
5pbVi7cv5LUW2KGaiLdPss;"""...Upon the Banks of the Nile""";Egypt, Mother of the World;19t5arn4aAhp1dapyycEgf;['Riad Abdel-Gawad'];['62dgwBcUNerwCNz490CoOd'];11;1;FALSO;4,04E+16;384;5;-6,292E+16;1;348;9,11E+15;345;1,99E+16;6,41E+15;92212;490000;40;2011;2011-02-14
6Su8FhANgVCgmWPHY3cwMH;"""...You a Yankees Fan?""";The Taking of Pelham 123 (Original Motion Picture Soundtrack);5p5aa6wCtWEGKhqU3lwVGd;['Harry Gregson-Williams'];['1BxqJ6pOCi8mkSjCbFYjpW'];11;1;FALSO;151;66;6;-2561;0;367;925;951;912;441;76312;117813;30;2009;2009-06-09
0gApojfc42VWlHyB1fNZTm;"""||Ginisa"" (Cricket)";Pure Pwnage Season 1 Soundtrack;1d0fVqFpkBTXNUKTCvRpre;['Levi Namaseb'];['26PaQCKxeK1PQtbdvTZHDj'];32;1;VERDADERO;581;9;1;-2,0499E+16;1;4,17E+16;9,84E+15;399;342;716;162631;80170;50;2007;2007-01-01
7h2jyktAeVhKPRaZhzf40Z;"""44""";The Man with the Golden Thumb;5g5977W8ah8NhbEqnCtQ8w;['Jerry Reed'];['3kvy8do7n0qVqvlNFS4yOF'];8;1;FALSO;8,37E+15;638;5;-1598;1;426;198;248;105;831;1,27394E+16;235080;40;1982;1982-04-01
2A9JNOP5wXc2ght7fd11dh;"""44-44"" (feat. Poxy)";Street Fame, Vol. 3;6Y3CVLIpmyzlFaXQaTxorC;['Lil Mario', 'Poxy'];['3BZDsaA24eP6tmU0vWG4Uf', '28aHD9SWIexzJtiQhutgh7'];8;1;VERDADERO;742;4,64E+16;1;-4148;1;317;196;0;3,38E+16;201;108223;95060;40;2003;2003-04-15
0YBkFf1dbiwtVuIDfMFQa7;"""74""";Hip Li'l Dreams;64qgfjoJuKiCl6v5v4Lv9M;['The Sons Of Champlin'];['3LmdSHbQzMs8ZL0GVGpwXb'];10;1;FALSO;7;735;0;-6636;1;323;1,48E+16;0,000425;521;6,78E+15;120005;288533;40;2008;2008-12-09
